source,destination,status_code,is_regx,note
/tutorials/spring/how-to-configure-pojos-with-java-collection-attributes,/articles/configure-pojos-with-java-collection-attributes-in-spring,301,0,
/android/download-and-display-image-in-android-gridview,/articles/download-and-display-image-in-android-gridview,301,0,
/article/how-to-format-your-post,/how-to-format-your-post,301,0,
/android/android-framelayout-example,/articles/android-framelayout-example,301,0,
/interview-questions,/articles,301,0,
/courses/maven,/courses/maven-for-beginners,301,0,
/how-to-format-your-post,/contribute,301,0,
/article/download-and-display-image-in-android-gridview,/articles/download-and-display-image-in-android-gridview,301,0,
/tutorials/java/spring/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/android/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/spring-boot/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/spring/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/laravel/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/php/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/git/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/html5/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/bootstrap/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/java/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/xamarin/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/react/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/react-native/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/wordpress/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/json/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/design-patterns/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/sencha-touch/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/ibm-worklight/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/phonegap/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/ios/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/seo/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/se-concepts/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/servlets/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/struts/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/c/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/struts/([a-zA-Z0-9-]+), /article/\1,301,1,
/tutorials/libgdx/([a-zA-Z0-9-]+), /article/\1,301,1,
/how-to/([a-zA-Z0-9-]+), /article/\1,301,1,
/blog/([a-zA-Z0-9-]+), /article/\1,301,1,
/articles/how-to-configure-pojos-with-java-collection-attributes,/articles/configure-pojos-with-java-collection-attributes-in-spring,301,0,
/courses/maven,/courses/maven-for-beginners,301,0,
