source,destination,status_code,note
/tutorials/spring/how-to-configure-pojos-with-java-collection-attributes,/articles/configure-pojos-with-java-collection-attributes-in-spring,301,
/android/download-and-display-image-in-android-gridview,/articles/download-and-display-image-in-android-gridview,301,
/article/how-to-format-your-post,/how-to-format-your-post,301,
/android/android-framelayout-example,/articles/android-framelayout-example,301,
/interview-questions,/articles,301,
/courses/maven,/courses/maven-for-beginners,301,
/how-to-format-your-post,/contribute,301,
/article/download-and-display-image-in-android-gridview,/articles/download-and-display-image-in-android-gridview,301,
/articles/how-to-configure-pojos-with-java-collection-attributes,/articles/configure-pojos-with-java-collection-attributes-in-spring,301,
/courses/maven,/courses/maven-for-beginners,301,
